真,560,560,7716,接頭詞,名詞接続,*,*,*,*,真,マ,マ,ア,ア
真,560,560,8583,接頭詞,名詞接続,*,*,*,*,真,シン,シン,イウ,イウ
平,560,560,8760,接頭詞,名詞接続,*,*,*,*,平,ヒラ,ヒラ,イア,イア
元,560,560,5636,接頭詞,名詞接続,*,*,*,*,元,モト,モト,オオ,オオ
代,560,560,8731,接頭詞,名詞接続,*,*,*,*,代,ダイ,ダイ,アイ,アイ
ふた,560,560,7856,接頭詞,名詞接続,*,*,*,*,ふた,フタ,フタ,ウア,ウア
片,560,560,7059,接頭詞,名詞接続,*,*,*,*,片,カタ,カタ,アア,アア
翌,560,560,8554,接頭詞,名詞接続,*,*,*,*,翌,ヨク,ヨク,オウ,オウ
生,560,560,7821,接頭詞,名詞接続,*,*,*,*,生,ナマ,ナマ,アア,アア
生,560,560,10160,接頭詞,名詞接続,*,*,*,*,生,キ,キ,イ,イ
長,560,560,11724,接頭詞,名詞接続,*,*,*,*,長,ナガ,ナガ,アア,アア
長,560,560,11534,接頭詞,名詞接続,*,*,*,*,長,チョウ,チョー,イオウ,イオ
ポスト,560,560,6921,接頭詞,名詞接続,*,*,*,*,ポスト,ポスト,ポスト,オウオ,オウオ
双,560,560,7809,接頭詞,名詞接続,*,*,*,*,双,ソウ,ソー,オウ,オ
真っ,557,557,7220,接頭詞,形容詞接続,*,*,*,*,真っ,マッ,マッ,アウ,アウ
枚,558,558,5898,接頭詞,数接続,*,*,*,*,枚,マイ,マイ,アイ,アイ
青,560,560,8750,接頭詞,名詞接続,*,*,*,*,青,アオ,アオ,アオ,アオ
御,559,559,6373,接頭詞,動詞接続,*,*,*,*,御,オ,オ,オ,オ
副,560,560,3547,接頭詞,名詞接続,*,*,*,*,副,フク,フク,ウウ,ウウ
過,560,560,6658,接頭詞,名詞接続,*,*,*,*,過,カ,カ,ア,ア
再,560,560,5787,接頭詞,名詞接続,*,*,*,*,再,サイ,サイ,アイ,アイ
今,560,560,7664,接頭詞,名詞接続,*,*,*,*,今,コン,コン,オウ,オウ
今,560,560,11536,接頭詞,名詞接続,*,*,*,*,今,イマ,イマ,イア,イア
小,560,560,6315,接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー,イオウ,イオ
小,560,560,8323,接頭詞,名詞接続,*,*,*,*,小,コ,コ,オ,オ
計,558,558,5523,接頭詞,数接続,*,*,*,*,計,ケイ,ケイ,エイ,エイ
大,559,559,8997,接頭詞,動詞接続,*,*,*,*,大,オオ,オー,オオ,オ
正,560,560,7692,接頭詞,名詞接続,*,*,*,*,正,セイ,セイ,エイ,エイ
第,560,560,11166,接頭詞,名詞接続,*,*,*,*,第,ダイ,ダイ,アイ,アイ
ぶち,559,559,7554,接頭詞,動詞接続,*,*,*,*,ぶち,ブチ,ブチ,ウイ,ウイ
御,557,557,7211,接頭詞,形容詞接続,*,*,*,*,御,オ,オ,オ,オ
即,560,560,7476,接頭詞,名詞接続,*,*,*,*,即,ソク,ソク,オウ,オウ
準,560,560,5309,接頭詞,名詞接続,*,*,*,*,準,ジュン,ジュン,イウウ,イウウ
定,560,560,9055,接頭詞,名詞接続,*,*,*,*,定,テイ,テイ,エイ,エイ
